#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-24 23:29:41.986

Time (s),Channel 2 (V)
2.977e-05,-3.488366728820226
2.978e-05,-3.488313607628432
2.979e-05,-3.488351767711391
2.98e-05,-3.488300663193425
2.981e-05,-3.48817760440477
2.982e-05,-3.488240264255952
2.983e-05,-3.488299384335607
2.984e-05,-3.488338508991317
2.985e-05,-3.488198692310228
2.986e-05,-3.488193302447083
2.987e-05,-3.488382699661832
2.988e-05,-3.488431826732104
2.989e-05,-3.488300603083896
2.99e-05,-3.488360194061136
2.991e-05,-3.488363732217799
2.992e-05,-3.488325169825377
2.993e-05,-3.488387756499557
2.994e-05,-3.488330279113973
2.995e-05,-3.48837047712447
2.996e-05,-3.488399889775204
2.997e-05,-3.488334892031983
2.998e-05,-3.488297612075145
2.999e-05,-3.488411381309386
3e-05,-3.488471865679624
3.001e-05,-3.488345362705102
3.002e-05,-3.488293175106849
3.003e-05,-3.488350942637444
3.004e-05,-3.488442721563669
3.005e-05,-3.488426678979883
3.006e-05,-3.488403855602034
3.007e-05,-3.48840166084514
3.008e-05,-3.488316864125322
3.009e-05,-3.488293978955151
3.01e-05,-3.488454645180628
3.011e-05,-3.488441234671203
3.012e-05,-3.488276436992677
3.013e-05,-3.488291672251864
3.014e-05,-3.488474030239638
3.015e-05,-3.488378650342306
3.016e-05,-3.488222665118463
3.017e-05,-3.488291354780764
3.018e-05,-3.488265922279696
3.019e-05,-3.48830998795904
3.02e-05,-3.488455381226216
3.021e-05,-3.488436198828292
3.022e-05,-3.488304509723581
3.023e-05,-3.488379015936988
3.024e-05,-3.488392990466021
3.025e-05,-3.48833183492108
3.026e-05,-3.488380385647608
3.027e-05,-3.488432113659754
3.028e-05,-3.488358983771572
3.029e-05,-3.488295742976086
3.03e-05,-3.488436210250697
3.031e-05,-3.488529853847813
3.032e-05,-3.488521278054622
3.033e-05,-3.488499383591955
3.034e-05,-3.488485845120636
3.035e-05,-3.488452894498521
3.036e-05,-3.48851571776202
3.037e-05,-3.488500891574153
3.038e-05,-3.488469787054672
3.039e-05,-3.488504259966589
3.04e-05,-3.488521589370572
3.041e-05,-3.488635672234046
