#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-14 15:41:16.473
#Sample rate: 2.5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Average: 10000
#Channel 1: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Channel 2 (V)
-6.088e-05,-1.002296940445192,-1.004452171403295
-6.084e-05,-1.000870677899595,-1.004747558374785
-6.08e-05,-1.002130300786992,-1.004198700119912
-6.076e-05,-1.002045015867533,-1.004410255715078
-6.072e-05,-1.002003355952915,-1.005042945345991
-6.068e-05,-1.001416186969253,-1.004831389750825
-6.064e-05,-1.00192003612392,-1.004494087091401
-6.06e-05,-1.002003355952915,-1.003566010489347
-6.056e-05,-1.003177693921133,-1.005212585253323
-6.052e-05,-1.002757164595093,-1.005168692410178
-6.048e-05,-1.001793091290157,-1.00542216369356
-6.044e-05,-1.001961696038235,-1.004873305438965
-6.04e-05,-1.001709771460854,-1.004789474062648
-6.036e-05,-1.001668111546634,-1.004494087091401
-6.032e-05,-1.000787358070694,-1.004747558374785
-6.028e-05,-1.001836716294948,-1.004789474062648
-6.024e-05,-1.002296940445192,-1.004789474062648
-6.02e-05,-1.002338600359507,-1.00538024800535
-6.016e-05,-1.001751431375535,-1.005168692410178
-6.012e-05,-1.002255280530512,-1.004831389750825
-6.008e-05,-1.002632184851474,-1.005084861034137
-6.004e-05,-1.003261013749754,-1.004831389750825
-6e-05,-1.002757164595093,-1.004789474062648
-5.996e-05,-1.002967429258066,-1.004789474062648
-5.992e-05,-1.002128335696435,-1.004494087091401
-5.988e-05,-1.002296940445192,-1.005338332317481
-5.984e-05,-1.001457846883567,-1.005464079381667
-5.98e-05,-1.001626451631953,-1.004873305438965
-5.976e-05,-1.001374527054572,-1.0039033131487
-5.972e-05,-1.001626451631953,-1.004072953055726
-5.968e-05,-1.001080942562295,-1.005001029658151
-5.964e-05,-1.002171960701209,-1.005126776722314
-5.96e-05,-1.001164262391598,-1.00542216369356
-5.956e-05,-1.002171960701209,-1.004282531495893
-5.952e-05,-1.003219353835447,-1.004114868743873
-5.948e-05,-1.002757164595093,-1.004114868743873
-5.944e-05,-1.002086675782127,-1.004114868743873
-5.94e-05,-1.001709771460854,-1.004410255715078
-5.936e-05,-1.001374527054572,-1.004747558374785
-5.932e-05,-1.00133286713995,-1.004198700119912
-5.928e-05,-1.003387958583834,-1.004114868743873
-5.924e-05,-1.002211655525739,-1.004705642686569
-5.92e-05,-1.003177693921133,-1.004198700119912
-5.916e-05,-1.002463580103119,-1.003819481772382
-5.912e-05,-1.002338600359507,-1.004663726998798
-5.908e-05,-1.002338600359507,-1.005084861034137
-5.904e-05,-1.002925769343473,-1.00394522883654
-5.9e-05,-1.002128335696435,-1.004663726998798
-5.896e-05,-1.001122602476976,-1.004789474062648
-5.892e-05,-1.00158479171733,-1.004789474062648
-5.888e-05,-1.001668111546634,-1.004198700119912
-5.884e-05,-1.001961696038235,-1.004114868743873
-5.88e-05,-1.003177693921133,-1.004114868743873
-5.876e-05,-1.002463580103119,-1.004410255715078
-5.872e-05,-1.001751431375535,-1.003861397460557
-5.868e-05,-1.002548865022572,-1.004072953055726
-5.864e-05,-1.002673844766098,-1.004705642686569
-5.86e-05,-1.002673844766098,-1.00360792617721
-5.856e-05,-1.002673844766098,-1.003440263424813
-5.852e-05,-1.004141767225694,-1.004031037367886
-5.848e-05,-1.002588559846683,-1.003819481772382
-5.844e-05,-1.002632184851474,-1.004368340027215
-5.84e-05,-1.002673844766098,-1.004156784432047
-5.836e-05,-1.002086675782127,-1.003819481772382
-5.832e-05,-1.002003355952915,-1.004368340027215
-5.828e-05,-1.002590524936794,-1.003566010489347
-5.824e-05,-1.002967429258066,-1.004326424339376
-5.82e-05,-1.002128335696435,-1.003566010489347
-5.816e-05,-1.001122602476976,-1.004326424339376
-5.812e-05,-1.001291207225361,-1.003566010489347
-5.808e-05,-1.001626451631953,-1.003735650396303
-5.804e-05,-1.001374527054572,-1.00348217911303
-5.8e-05,-1.002507205107893,-1.003735650396303
-5.796e-05,-1.002673844766098,-1.004663726998798
-5.792e-05,-1.002380260273816,-1.00360792617721
-5.788e-05,-1.001164262391598,-1.003440263424813
-5.784e-05,-1.001291207225361,-1.003440263424813
-5.78e-05,-1.00133286713995,-1.003735650396303
-5.776e-05,-1.002213620615889,-1.003777566084514
-5.772e-05,-1.001164262391598,-1.003186792141781
-5.768e-05,-1.001291207225361,-1.00339834773695
-5.764e-05,-1.002213620615889,-1.003735650396303
-5.76e-05,-1.002045015867533,-1.00348217911303
-5.756e-05,-1.002003355952915,-1.003735650396303
-5.752e-05,-1.002884109428855,-1.00348217911303
-5.748e-05,-1.003009089172375,-1.003440263424813
-5.744e-05,-1.002715504680778,-1.003735650396303
-5.74e-05,-1.002967429258066,-1.004072953055726
-5.736e-05,-1.002715504680778,-1.003228707829644
-5.732e-05,-1.002673844766098,-1.00310296076546
-5.728e-05,-1.003554598242039,-1.003989121680021
-5.724e-05,-1.003385993493652,-1.003819481772382
-5.72e-05,-1.002757164595093,-1.004072953055726
-5.716e-05,-1.001793091290157,-1.003819481772382
-5.712e-05,-1.003136034006453,-1.003777566084514
-5.708e-05,-1.002463580103119,-1.003777566084514
-5.704e-05,-1.001457846883567,-1.00348217911303
-5.7e-05,-1.00192003612392,-1.003735650396303
-5.696e-05,-1.002590524936794,-1.003777566084514
